contracts,cpuCores,ftpPortOpen,hasAdminRights,hostname,httpPortOpen,ip,isConnectedTo,maxRam,messages,organizationName,programs,ramUsed,runningScripts,scripts,serversOnNetwork,smtpPortOpen,sqlPortOpen,sshPortOpen,textFiles,purchasedByPlayer,backdoorInstalled,baseDifficulty,hackDifficulty,minDifficulty,moneyAvailable,moneyMax,numOpenPortsRequired,openPortCount,requiredHackingSkill,serverGrowth,fullpath 
,1,false,false,blade,false,27.5.3.6,false,64,,Blade Industries,,0,,,,false,false,false,,false,false,92,92,31,29195706439,729892660975,5,0,1200,55,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade 
,1,false,false,zeus-med,false,49.7.4.4,false,0,,Zeus Medical,,0,,,,false,false,false,,false,false,82,82,27,1382954420,34573860500,5,0,837,75,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med 
,1,false,false,zb-def,false,27.5.3.3,false,0,,ZB Defense Industries,,0,,,,false,false,false,,false,false,60,60,20,1069048358,26726208950,4,0,798,69,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def 
,1,false,false,unitalife,false,73.0.3.0,false,32,,UnitaLife Group,,0,,,,false,false,false,,false,false,71,71,24,1005422325,25135558125,4,0,822,76,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife 
,1,false,false,defcomm,false,38.5.2.1,false,0,,DefComm,,0,,,,false,false,false,,false,false,91,91,30,938770098,23469252450,5,0,993,57,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm 
,1,false,false,icarus,false,54.6.5.8,false,0,,Icarus Microsystems,,0,,,,false,false,false,,false,false,87,87,29,950684874,23767121850,5,0,901,90,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus 
,1,false,false,infocomm,false,28.4.4.0,false,0,,InfoComm,,0,,,,false,false,false,,false,false,72,72,24,863237235,21580930875,5,0,915,50,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm 
,1,false,false,taiyang-digital,false,6.6.5.8,false,0,,Taiyang Digital,,0,,,,false,false,false,,false,false,73,73,24,849182415,21229560375,5,0,900,80,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital 
,1,false,false,microdyne,false,37.8.6.8,false,32,,Microdyne Technologies,,0,,,,false,false,false,,false,false,75,75,25,515918599,12897964975,5,0,802,87,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne 
,1,false,false,vitalife,false,46.4.1.7,false,64,,VitaLife,,0,,,,false,false,false,,false,false,88,88,29,736459602,18411490050,5,0,786,77,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife 
,1,false,false,kuai-gong,false,84.8.9.2,false,0,,KuaiGong International,,0,,,,false,false,false,,false,false,98,98,33,23168860485,579221512125,5,0,1128,91,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong 
,1,false,false,powerhouse-fitness,false,78.6.4.1,false,16,,Powerhouse Fitness,,0,,,,false,false,false,,false,false,65,65,22,900000000,22500000000,5,0,1059,50,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness 
,1,false,false,ecorp,false,35.7.4.5,false,0,,ECorp,,0,,,,false,false,false,,false,false,99,99,33,55404941320,1385123533000,5,0,1181,99,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp 
,1,false,false,The-Cave,false,69.7.9.6,false,0,,Helios,,0,,,,false,false,false,,false,false,1,1,1,0,0,5,0,925,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave 
,1,false,false,.,false,76.0.5.3,false,16,,.,,0,,,,false,false,false,,false,false,1,1,1,0,0,4,0,540,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:. 
,1,false,false,clarkinc,false,95.0.0.0,false,0,,Clarke Incorporated,,0,,,,false,false,false,,false,false,45,45,15,18382416207,459560405175,5,0,1239,66,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc 
,1,false,false,megacorp,false,55.0.0.1,false,0,,MegaCorp,,0,,,,false,false,false,,false,false,99,99,33,46694899716,1167372492900,5,0,1242,99,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp 
,1,false,false,fulcrumassets,false,84.0.0.2,false,0,,Fulcrum Technologies,,0,,,,false,false,false,,false,false,99,99,33,1000000,25000000,5,0,1334,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets 
,1,false,false,run4theh111z,false,7.5.0.9,false,64,,The Runners,,0,,,,false,false,false,,false,false,1,1,1,0,0,4,0,507,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z 
,1,false,false,stormtech,false,15.5.1.1,false,0,,Storm Technologies,,0,,,,false,false,false,,false,false,88,88,29,1025866786,25646669650,5,0,1068,68,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech 
,1,false,false,4sigma,false,27.3.0.2,false,0,,Four Sigma,,0,,,,false,false,false,,false,false,67,67,22,20622841539,515571038475,5,0,991,97,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma 
,1,false,false,nwo,false,77.1.7.8,false,0,,NWO,,0,,,,false,false,false,,false,false,99,99,33,26568963955,664224098875,5,0,1162,82,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo 
,1,false,false,aerocorp,false,58.2.0.9,false,0,,AeroCorp,,0,,,,false,false,false,,false,false,86,86,29,1098088647,27452216175,5,0,916,63,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp 
,1,false,false,avmnite-02h,false,29.1.8.7,false,64,,NiteSec,,0,,,,false,false,false,,false,false,1,1,1,0,0,2,0,215,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h 
,1,false,false,I.I.I.I,false,55.9.3.2,false,256,,I.I.I.I,,0,,,,false,false,false,,false,false,1,1,1,0,0,3,0,360,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I 
,1,false,false,millenium-fitness,false,23.7.3.5,false,64,,Millenium Fitness Network,,0,,,,false,false,false,,false,false,46,46,15,250000000,6250000000,3,0,524,27,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness 
,1,false,false,joesguns,false,33.3.8.9,false,16,,Joe's Guns,,0,,,,false,false,false,,false,false,15,15,5,2500000,62500000,0,0,10,20,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns 
,1,false,false,nectar-net,false,19.8.1.0,false,16,,Nectar Nightclub Network,,0,,,,false,false,false,,false,false,20,20,7,2750000,68750000,0,0,20,25,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net 
,1,false,false,CSEC,false,59.0.7.7,false,8,,CyberSec,,0,,,,false,false,false,,false,false,1,1,1,0,0,1,0,57,1,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net:CSEC 
,1,false,false,omega-net,false,29.8.4.4,false,32,,Omega Software,,0,,,,false,false,false,,false,false,29,29,10,69505949,1737648725,2,0,215,39,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net:CSEC:omega-net 
,1,false,false,the-hub,false,54.5.2.7,false,16,,The Hub,,0,,,,false,false,false,,false,false,37,37,12,163995094,4099877350,2,0,316,51,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net:CSEC:omega-net:the-hub 
,1,false,false,computek,false,85.1.4.2,false,0,,CompuTek,,0,,,,false,false,false,,false,false,60,60,20,238496406,5962410150,3,0,367,47,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net:CSEC:omega-net:the-hub:computek 
,1,false,false,syscore,false,46.4.6.3,false,0,,SysCore Securities,,0,,,,false,false,false,,false,false,72,72,24,442461180,11061529500,4,0,561,60,:n00dles:home:foodnstuff:sigma-cosmetics:max-hardware:silver-helix:phantasy:johnson-ortho:crush-fitness:summit-uni:rho-construction:galactic-cyber:deltaone:univ-energy:solaris:nova-med:titan-labs:fulcrumtech:applied-energetics:helios:omnitek:b-and-a:blade:zeus-med:zb-def:unitalife:defcomm:icarus:infocomm:taiyang-digital:microdyne:vitalife:kuai-gong:powerhouse-fitness:ecorp:The-Cave:.:clarkinc:megacorp:fulcrumassets:run4theh111z:stormtech:4sigma:nwo:aerocorp:avmnite-02h:I.I.I.I:millenium-fitness:joesguns:nectar-net:CSEC:omega-net:the-hub:computek:syscore 
